County of County_Animals,Year of County_Animals,HOGS - INVENTORY,TURKEYS - INVENTORY
LE SUEUR,2022,109236,68794
LE SUEUR,2023,,
LINCOLN,2010,,
LINCOLN,2011,,
LINCOLN,2012,93371,
LINCOLN,2013,,
LINCOLN,2014,,
LINCOLN,2015,,
LINCOLN,2016,,
LINCOLN,2017,118694,
LINCOLN,2018,,
LINCOLN,2019,,
LINCOLN,2020,,
LINCOLN,2021,,
LINCOLN,2022,131627,
LINCOLN,2023,,
LYON,2010,,
LYON,2011,,
LYON,2012,158742,643333
LYON,2013,,
LYON,2014,,
LYON,2015,,
LYON,2016,,
LYON,2017,251248,522333
LYON,2018,,
LYON,2019,,
LYON,2020,,
LYON,2021,,
LYON,2022,444988,506333
LYON,2023,,
MAHNOMEN,2010,,
MAHNOMEN,2011,,
MAHNOMEN,2012,243,
MAHNOMEN,2013,,
MAHNOMEN,2014,,
MAHNOMEN,2015,,
MAHNOMEN,2016,,
MAHNOMEN,2017,16,
MAHNOMEN,2018,,
MAHNOMEN,2019,,
MAHNOMEN,2020,,
MAHNOMEN,2021,,
MAHNOMEN,2022,57,
MAHNOMEN,2023,,
MARSHALL,2010,,
MARSHALL,2011,,
MARSHALL,2012,62,
MARSHALL,2013,,
MARSHALL,2014,,
MARSHALL,2015,,
MARSHALL,2016,,
MARSHALL,2017,,
MARSHALL,2018,,
MARSHALL,2019,,
MARSHALL,2020,,
MARSHALL,2021,,
MARSHALL,2022,9,
MARSHALL,2023,,
MARTIN,2010,,
MARTIN,2011,,
MARTIN,2012,812229,69404
MARTIN,2013,,
MARTIN,2014,,
MARTIN,2015,,
MARTIN,2016,,
MARTIN,2017,827589,102010
MARTIN,2018,,
MARTIN,2019,,
MARTIN,2020,,
MARTIN,2021,,
MARTIN,2022,845233,36
MARTIN,2023,,
MCLEOD,2010,,
MCLEOD,2011,,
MCLEOD,2012,9308,31
MCLEOD,2013,,
MCLEOD,2014,,
MCLEOD,2015,,
MCLEOD,2016,,
MCLEOD,2017,6901,129
MCLEOD,2018,,
MCLEOD,2019,,
MCLEOD,2020,,
MCLEOD,2021,,
MCLEOD,2022,7779,
MCLEOD,2023,,
MEEKER,2010,,
MEEKER,2011,,
MEEKER,2012,14522,
MEEKER,2013,,
MEEKER,2014,,
MEEKER,2015,,
MEEKER,2016,,
MEEKER,2017,5135,1041083
MEEKER,2018,,
MEEKER,2019,,
MEEKER,2020,,
MEEKER,2021,,
MEEKER,2022,1752,
MEEKER,2023,,
MILLE LACS,2010,,
MILLE LACS,2011,,
MILLE LACS,2012,462,34
MILLE LACS,2013,,
